#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A68D01
#Date Time: 2018-10-13 11:40:49.790
#Sample rate: 2000Hz
#Samples: 20000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V
#Channel 2: Range: 500 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-5,-0.040352465868756543,0.00066298492892617788
-4.9995000000000003,-0.039360244607059995,0.00099330993861057636
-4.9989999999999997,-0.039360244607059995,0.00066298492892617788
-4.9984999999999999,-0.040021725448191027,0.00066298492892617788
-4.9980000000000002,-0.040021725448191027,0.00066298492892617788
-4.9974999999999996,-0.038368023345363454,0.00033265991924177917
-4.9969999999999999,-0.039690985027625511,0.00066298492892617788
-4.9965000000000002,-0.040683206289322059,0.00066298492892617788
-4.9960000000000004,-0.039360244607059995,0.00066298492892617788
-4.9954999999999998,-0.039029504186494486,0.00066298492892617788
-4.9950000000000001,-0.039690985027625511,0.00033265991924177917
-4.9945000000000004,-0.039690985027625511,2.3349095573805797e-06
-4.9939999999999998,-0.037045061663101397,-0.0009886401194958152
-4.9935,-0.037375802083666906,-0.0009886401194958152
-4.9930000000000003,-0.03869876376592897,-0.0013189651291802139
-4.9924999999999997,-0.037706542504232422,-0.0009886401194958152
-4.992,-0.037045061663101397,-0.0009886401194958152
-4.9915000000000003,-0.037045061663101397,-0.0013189651291802139
-4.9909999999999997,-0.036714321242535881,-0.0023099401582334098
-4.9904999999999999,-0.034068397878011761,-0.0033009151872866052
-4.9900000000000002,-0.035060619139708309,-0.0033009151872866052
-4.9894999999999996,-0.035391359560273818,-0.0036312401969710037
-4.9889999999999999,-0.034729878719142793,-0.0033009151872866052
-4.9885000000000002,-0.034729878719142793,-0.0033009151872866052
-4.9880000000000004,-0.035060619139708309,-0.0033009151872866052
-4.9874999999999998,-0.035391359560273818,-0.0036312401969710037
-4.9870000000000001,-0.033406917036880729,-0.0039615652066554031
-4.9865000000000004,-0.034068397878011761,-0.0039615652066554031
-4.9859999999999998,-0.035060619139708309,-0.0039615652066554031
-4.9855,-0.034399138298577277,-0.0036312401969710037
-4.9850000000000003,-0.034399138298577277,-0.0036312401969710037
-4.9844999999999997,-0.035391359560273818,-0.0029705901776022068
-4.984,-0.037045061663101397,-0.0023099401582334098
-4.9835000000000003,-0.035722099980839334,-0.0019796151485490109
-4.9829999999999997,-0.036383580821970365,-0.0019796151485490109
-4.9824999999999999,-0.037375802083666906,-0.0019796151485490109
-4.9820000000000002,-0.036383580821970365,-0.0019796151485490109
