Time (s),Channel 1 (V)
-5,-0.02582169
-4.9995,-0.026813911
-4.999,-0.026813911
-4.9985,1.620934864
-4.998,3.313333596
-4.9975,3.313002855
-4.997,3.31631026
-4.9965,3.315979519
-4.996,3.314325817
-4.9955,3.31631026
-4.995,3.317302481
-4.9945,3.316641
-4.994,3.315648779
-4.9935,3.318294702
-4.993,3.316971741
-4.9925,3.314987298
-4.992,3.315648779
-4.9915,3.315318038
-4.991,3.312672115
-4.9905,3.311018413
-4.99,3.313664336
-4.9895,3.312672115
-4.989,3.310687673
-4.9885,1.690390352
-4.988,-0.026483171
-4.9875,-0.028467614
-4.987,-0.030782796
-4.9865,-0.028136873
-4.986,-0.029790575
-4.9855,-0.030782796
-4.985,-0.028798354
-4.9845,-0.030121316
-4.984,-0.032436499
-4.9835,-0.031113537
-4.983,-0.030782796
-4.9825,-0.031444277
-4.982,-0.029790575
-4.9815,-0.027475392
-4.981,-0.027475392
-4.9805,-0.026813911
-4.98,-0.02549095
-4.9795,-0.026483171
-4.979,-0.027144652
-4.9785,1.562063069
-4.978,3.313664336
-4.9775,3.313002855
-4.977,3.316641
-4.9765,3.315318038
-4.976,3.313664336
-4.9755,3.31631026
-4.975,3.31631026
-4.9745,3.314987298
-4.974,3.316971741
-4.9735,3.317633221
-4.973,3.31631026
-4.9725,3.315318038
-4.972,3.31631026
-4.9715,3.313333596
-4.971,3.312010634
-4.9705,3.313333596
-4.97,3.312010634
-4.9695,3.310687673
-4.969,3.312672115
-4.9685,1.968873786
-4.968,-0.028798354
-4.9675,-0.027144652
-4.967,-0.029790575
-4.9665,-0.031113537
-4.966,-0.028798354
-4.9655,-0.029459835
-4.965,-0.031113537
-4.9645,-0.030452056
-4.964,-0.030782796
-4.9635,-0.032436499
-4.963,-0.031113537
-4.9625,-0.029459835
-4.962,-0.030121316
-4.9615,-0.028798354
-4.961,-0.02582169
-4.9605,-0.026813911
-4.96,-0.027144652
-4.9595,-0.025160209
-4.959,-0.026152431
-4.9585,1.279280009
-4.958,3.314987298
-4.9575,3.314656558
-4.957,3.313995077
-4.9565,3.31631026
-4.956,3.315648779
-4.9555,3.314325817
-4.955,3.316971741
-4.9545,3.316971741
-4.954,3.315979519
-4.9535,3.316971741
-4.953,3.317302481
-4.9525,3.315318038
-4.952,3.314987298
-4.9515,3.315318038
-4.951,3.312672115
-4.9505,3.311018413
-4.95,3.313333596
-4.9495,3.312010634
-4.949,3.310356932
-4.9485,1.999632645
-4.948,-0.027144652
-4.9475,-0.029790575
-4.947,-0.029129094
-4.9465,-0.028798354
-4.946,-0.030121316
-4.9455,-0.030121316
-4.945,-0.029129094
-4.9445,-0.030782796
-4.944,-0.032105758
-4.9435,-0.030121316
-4.943,-0.031113537
-4.9425,-0.031444277
-4.942,-0.028467614
-4.9415,-0.028136873
-4.941,-0.028136873
-4.9405,-0.02549095
-4.94,-0.02582169
-4.9395,-0.027475392
-4.939,-0.02582169
-4.9385,1.057683928
-4.938,3.312672115
-4.9375,3.314325817
-4.937,3.315979519
-4.9365,3.314987298
-4.936,3.314656558
-4.9355,3.316641
-4.935,3.315979519
-4.9345,3.315318038
-4.934,3.318294702
-4.9335,3.316641
-4.933,3.315318038
-4.9325,3.316971741
-4.932,3.31631026
-4.9315,3.312672115
-4.931,3.313002855
-4.9305,3.313002855
-4.93,3.311349153
-4.9295,3.311679894
-4.929,3.312341375
-4.9285,2.270178309
-4.928,-0.028136873
-4.9275,-0.027144652
-4.927,-0.029790575
-4.9265,-0.030782796
-4.926,-0.028136873
-4.9255,-0.029790575
-4.925,-0.031444277
-4.9245,-0.029790575
-4.924,-0.030782796
-4.9235,-0.032436499
-4.923,-0.030782796
-4.9225,-0.029790575
